name,category,primaryUPC,storeId,isAvailable,isFeatured,updatedAt,description,subsidised,UOM,disposableFee,_id,markup,stock,isMeasuredInWeight,images,tax,price
Sunset English Cucumber 3Pc,Other,057836168220,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f5c,33.16,True,False,,0.0,187.0
Sikandar Rosted&Salted Peanuts,Other,8906070132653,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f64,35.24,True,False,,0.0,332.0
Indian Heritage Roasted Soyabean 400G,Other,6804631074546,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f65,41.14,True,False,,0.05,299.0
Hercules Kitchen Organics Bags 7.5L,Other,055966913161,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f67,47.75,True,False,,0.05,400.0
Top Ramen Curry Noodles 280G,Other,8901014003181,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f68,53.25,True,False,,0.0,257.0
Sparkling Ice Pamplemousse Rose,Other,016571953485,69fc370f5297fb4d17052acc,False,False,,,False,,20.0,6a08cff88106089547156f6f,86.12,True,False,,0.0,101.0
Kinder Egg,Other,80969938,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f76,76.2,True,False,,0.05,133.0
Mcgavins Whole Wheat,Bakery,055771130210,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f7b,17.25,True,False,,0.0,255.0
Crispy Vegetarian 2.5Lb,Bakery,627265001582,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f80,38.08,True,False,,0.0,499.0
Crispy Gujrati Roti 10 Rotis,Bakery,627265008277,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f82,35.91,True,False,,0.0,220.0
Crispy Roti,Bakery,CRISPY ROTI,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f84,33.44,True,False,,0.0,299.0
A-One Vegge Biscuits 1134Gm,Bakery,689462000058,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f85,38.08,True,False,,0.0,499.0
Pooja Atta Biscuits 850G,Bakery,4569258742361,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f8e,40.57,True,False,,0.0,350.0
Everything Begal,Bakery,063400138254,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f95,20.91,True,False,,0.0,330.0
Thick Pizza Crust,Bakery,060383154967,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f97,163.43,True,False,,0.0,188.0
Thin Pizza Crust,Bakery,060383154943,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f98,163.43,True,False,,0.0,188.0
Diamond Gur Cookies 2.5Lb,Bakery,628173330184,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f99,47.83,True,False,,0.0,600.0
Birds Nest,Bakery,675786000447,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f9a,41.33,True,False,,0.0,697.0
Everything Bagel,Bakery,675786000720,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f9f,27.72,True,False,,0.0,469.0
Ditalino Burger Buns,Bakery,063400260832,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa3,28.94,True,False,,0.0,387.0
Wheat Honey Oat,Bakery,099482493448,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa4,250.53,True,False,,0.0,99.0
Sprouted Power,Bakery,055991040160,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa5,250.53,True,False,,0.0,99.0
W W Kaiser Bun,Bakery,675786000119,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fab,48.13,True,False,,0.0,399.0
